snr1_db,metric1,snr2_db,metric2,amp
-5.765364,3.09699869e+00,-6.638979,2.13096452e+00,0.6
-5.765364,3.09699869e+00,-7.807301,2.68075275e+00,0.6
-4.213802,9.80695367e-01,-4.892601,1.84029901e+00,0.6
-4.227638,1.49421704e+00,-1.814076,1.78237021e+00,0.6
-4.227638,1.49421704e+00,-5.728848,1.05383492e+00,0.6
-4.227638,1.49421704e+00,-12.271996,1.53895295e+00,0.6
-4.227638,1.49421704e+00,-5.617690,1.51963151e+00,0.6
-3.390657,2.63830400e+00,-6.554246,1.37361979e+00,0.6
-14.487442,4.65989065e+00,-6.020220,2.94748521e+00,0.6
-14.487442,4.65989065e+00,-7.403990,3.53315568e+00,0.6
-2.300133,3.73314404e+00,-3.378624,1.99621463e+00,0.6
-17.049799,1.97766471e+00,-3.803341,2.74540806e+00,0.6
-25.619576,3.99374533e+00,-10.388202,2.63649344e+00,0.6
-25.619576,3.99374533e+00,-12.202741,2.30049777e+00,0.6
-25.619576,3.99374533e+00,-19.585873,1.90316021e+00,0.6
-4.286797,1.19018936e+00,-7.800870,1.56618762e+00,0.6
-4.286797,1.19018936e+00,-1.071368,1.68399584e+00,0.6
-12.618659,1.18293869e+00,-9.769359,4.05222845e+00,0.6
-12.618659,1.18293869e+00,-10.231715,2.16197634e+00,0.6
-12.618659,1.18293869e+00,-22.969009,1.61594546e+00,0.6
-6.593602,1.73247564e+00,-6.908017,3.32936883e+00,0.5
-13.764211,1.83354580e+00,-8.505934,1.75436449e+00,0.5
-0.657658,1.67000020e+00,-7.067205,1.65732014e+00,0.5
-2.080037,1.03360462e+00,-8.022620,1.64276862e+00,0.5
-9.731312,1.44993055e+00,-2.805444,1.21132255e+00,0.5
-17.427561,2.71398950e+00,-13.016616,4.14352226e+00,0.5
0.201129,1.47774613e+00,-12.048174,1.27309573e+00,0.5
2.851450,1.64645612e+00,-3.750010,4.81377602e+00,0.5
